Product_Category,Product_Price,Order_Quantity,Return_Reason,Return_Status,Days_to_Return,User_Age,User_Gender,User_Location,Payment_Method,Shipping_Method,Discount_Applied,Returned,Return_Probability,Risk_Level
Clothing,409.65,2,Not as described,Returned,355.0,64,Male,City23,Credit Card,Express,43.1,1,0.499210791653332,Medium
Home,170.03,3,Defective,Returned,13.0,21,Male,City74,PayPal,Standard,23.19,1,0.5036434675424514,Medium
Books,277.15,1,Wrong item,Returned,137.0,67,Male,City93,Credit Card,Next-Day,46.01,1,0.4581330016238697,Medium
Home,427.99,2,Defective,Returned,253.0,62,Male,City35,Debit Card,Next-Day,15.63,1,0.48072680819001024,Medium
Home,130.63,1,Defective,Returned,393.0,40,Female,City53,Gift Card,Next-Day,12.37,1,0.5220651315779289,Medium
Home,345.5,5,Defective,Returned,-74.0,56,Male,City58,Gift Card,Standard,23.75,1,0.5362798061164964,Medium
Home,329.59,4,Changed mind,Returned,-96.0,41,Male,City22,PayPal,Standard,8.74,1,0.4950828909063559,Medium
Home,359.73,5,Wrong item,Returned,64.0,50,Female,City84,PayPal,Standard,11.7,1,0.5150741168227028,Medium
Toys,378.25,5,Changed mind,Returned,66.0,27,Male,City73,Debit Card,Standard,23.41,1,0.48938842287748385,Medium
Clothing,151.4,1,Changed mind,Returned,416.0,24,Male,City14,Debit Card,Express,39.16,1,0.5019538606890994,Medium
Clothing,89.8,5,Wrong item,Returned,-349.0,43,Female,City28,PayPal,Standard,7.86,1,0.4899751996415845,Medium
Clothing,246.71,3,Not as described,Returned,-355.0,18,Male,City47,Gift Card,Standard,1.18,1,0.49758233957927245,Medium
Toys,150.75,2,Changed mind,Returned,-426.0,24,Female,City29,Debit Card,Express,25.88,1,0.5296048603261355,Medium
Toys,331.08,3,Defective,Returned,26.0,65,Male,City58,Gift Card,Next-Day,33.08,1,0.5280495232900242,Medium
Books,27.39,3,Changed mind,Returned,444.0,56,Female,City99,Debit Card,Express,42.79,1,0.4741856943485719,Medium
Home,341.03,4,Defective,Returned,668.0,69,Female,City62,Gift Card,Express,2.42,1,0.5240920540462465,Medium
Toys,299.98,4,Changed mind,Returned,665.0,43,Female,City8,Credit Card,Next-Day,35.3,1,0.4826448777031205,Medium
Home,80.88,3,Not as described,Returned,114.0,35,Female,City46,PayPal,Next-Day,46.78,1,0.5203167441526478,Medium
Home,450.4,5,Changed mind,Returned,-244.0,42,Female,City25,Gift Card,Express,30.89,1,0.5075050639598081,Medium
Toys,382.22,5,Changed mind,Returned,-94.0,51,Male,City1,Debit Card,Express,26.81,1,0.4850205010296485,Medium
Books,485.32,4,Wrong item,Returned,-7.0,60,Female,City23,Credit Card,Express,6.08,1,0.5017929170268378,Medium
Home,395.28,4,Defective,Returned,418.0,47,Male,City29,Credit Card,Express,6.27,1,0.5375400835279778,Medium
Clothing,409.57,2,Defective,Returned,-413.0,36,Male,City97,Debit Card,Standard,29.37,1,0.46906484849120356,Medium
Clothing,48.49,2,Wrong item,Returned,538.0,27,Male,City77,Credit Card,Standard,48.7,1,0.5168835298878284,Medium
Books,365.3,4,Defective,Returned,383.0,70,Male,City60,Debit Card,Standard,25.2,1,0.4802391638522239,Medium
Toys,333.67,5,Wrong item,Returned,282.0,61,Female,City19,PayPal,Express,40.16,1,0.45617277082024954,Medium
Books,104.54,1,Changed mind,Returned,-295.0,33,Female,City23,Gift Card,Next-Day,10.73,1,0.5005360265432905,Medium
Clothing,385.95,4,Not as described,Returned,-144.0,58,Male,City8,Debit Card,Standard,12.61,1,0.5018712411563353,Medium
Clothing,354.81,3,Defective,Returned,-62.0,64,Male,City24,Gift Card,Next-Day,29.05,1,0.5036323514844195,Medium
Clothing,282.89,1,Defective,Returned,-183.0,21,Female,City85,Debit Card,Standard,47.82,1,0.4972535395665199,Medium
Books,394.63,3,Not as described,Returned,-156.0,26,Female,City71,PayPal,Standard,1.41,1,0.5336213161087617,Medium
Electronics,392.03,5,Defective,Returned,288.0,21,Male,City29,Debit Card,Standard,2.16,1,0.5437530727926262,Medium
Books,182.75,5,Not as described,Returned,179.0,70,Male,City59,PayPal,Next-Day,18.41,1,0.5052616692862388,Medium
Books,161.86,3,Defective,Returned,338.0,39,Male,City12,Credit Card,Next-Day,26.28,1,0.5098534871056287,Medium
Home,418.05,5,Defective,Returned,-335.0,33,Female,City9,Gift Card,Standard,48.85,1,0.511200718037326,Medium
Clothing,12.83,4,Defective,Returned,-150.0,40,Female,City69,Credit Card,Express,15.24,1,0.48171547707283197,Medium
Home,296.09,1,Wrong item,Returned,-66.0,54,Male,City84,Debit Card,Express,13.5,1,0.487261345871399,Medium
Electronics,411.49,2,Wrong item,Returned,-389.0,49,Male,City39,Gift Card,Standard,21.99,1,0.45664923675154173,Medium
Clothing,389.91,2,Wrong item,Returned,-520.0,44,Male,City24,PayPal,Express,35.5,1,0.5148161327923008,Medium
Clothing,119.65,3,Wrong item,Returned,-482.0,40,Male,City62,Gift Card,Next-Day,19.25,1,0.5218388221528044,Medium
Books,338.15,5,Wrong item,Returned,328.0,29,Female,City99,PayPal,Next-Day,1.29,1,0.5060937971061702,Medium
Home,433.58,5,Not as described,Returned,-35.0,30,Male,City76,Gift Card,Next-Day,17.84,1,0.49447289492817187,Medium
Clothing,181.12,5,Changed mind,Returned,-483.0,59,Male,City74,Credit Card,Standard,31.29,1,0.48388900482436986,Medium
Electronics,494.96,2,Changed mind,Returned,-130.0,50,Female,City58,Gift Card,Standard,0.54,1,0.5359936137684869,Medium
Electronics,418.25,2,Not as described,Returned,-11.0,22,Male,City55,PayPal,Standard,11.96,1,0.5336069672886049,Medium
Clothing,477.66,3,Defective,Returned,54.0,67,Male,City2,PayPal,Next-Day,29.89,1,0.5287344022868911,Medium
Toys,43.12,1,Defective,Returned,541.0,63,Male,City5,Credit Card,Standard,18.5,1,0.5088724219411046,Medium
Home,404.99,3,Not as described,Returned,117.0,43,Male,City8,Debit Card,Standard,16.97,1,0.49657306783602934,Medium
Clothing,139.65,3,Wrong item,Returned,-121.0,55,Female,City68,Credit Card,Next-Day,39.08,1,0.5149850064463685,Medium
Clothing,456.02,3,Changed mind,Returned,-93.0,59,Female,City35,Gift Card,Express,28.93,1,0.4859421371045662,Medium
Books,423.45,2,Changed mind,Returned,7.0,29,Female,City75,PayPal,Standard,37.12,1,0.4942282671155313,Medium
Clothing,365.89,5,Not as described,Returned,130.0,27,Male,City43,Credit Card,Standard,26.27,1,0.5418995845625847,Medium
Clothing,341.18,4,Wrong item,Returned,-44.0,45,Female,City49,Debit Card,Express,6.37,1,0.5191294865327518,Medium
Electronics,192.67,2,Wrong item,Returned,226.0,53,Female,City4,Gift Card,Next-Day,37.32,1,0.4924171744757483,Medium
Clothing,191.95,2,Changed mind,Returned,-474.0,41,Female,City77,Gift Card,Standard,42.02,1,0.5205745165366295,Medium
Electronics,160.79,3,Defective,Returned,-291.0,46,Female,City99,Gift Card,Express,47.81,1,0.4862561926678326,Medium
Books,171.71,1,Wrong item,Returned,-106.0,69,Female,City99,Debit Card,Next-Day,11.17,1,0.4825296474895098,Medium
Books,237.12,3,Changed mind,Returned,-361.0,67,Male,City97,Gift Card,Standard,8.32,1,0.47311044997810775,Medium
Clothing,45.39,5,Defective,Returned,540.0,45,Male,City99,Gift Card,Express,7.2,1,0.4972762152254793,Medium
Books,388.93,4,Defective,Returned,-182.0,47,Male,City41,PayPal,Standard,38.72,1,0.47872244051857715,Medium
Books,392.99,1,Changed mind,Returned,299.0,23,Male,City32,PayPal,Next-Day,35.48,1,0.4981288168506955,Medium
Clothing,245.04,5,Defective,Returned,-286.0,70,Female,City98,PayPal,Standard,7.51,1,0.4970899965459354,Medium
Electronics,204.18,5,Changed mind,Returned,426.0,61,Female,City51,PayPal,Standard,14.43,1,0.5073435591582462,Medium
Toys,198.8,4,Wrong item,Returned,466.0,46,Male,City40,Debit Card,Next-Day,44.12,1,0.5221739821959673,Medium
Home,249.94,5,Wrong item,Returned,69.0,49,Female,City66,Gift Card,Standard,4.54,1,0.4941980060363567,Medium
Clothing,350.28,2,Not as described,Returned,-241.0,53,Female,City86,Credit Card,Standard,0.38,1,0.5413561335890805,Medium
Home,448.77,2,Changed mind,Returned,27.0,68,Female,City79,Credit Card,Express,43.67,1,0.4998006683807425,Medium
Home,74.01,2,Wrong item,Returned,-145.0,30,Female,City20,Debit Card,Next-Day,11.26,1,0.49632444409667514,Medium
Books,253.18,2,Defective,Returned,692.0,31,Female,City34,Debit Card,Standard,45.08,1,0.4781061830059149,Medium
Clothing,380.84,1,Wrong item,Returned,-35.0,51,Male,City52,PayPal,Express,18.48,1,0.5308930385759268,Medium
Home,89.5,3,Changed mind,Returned,-272.0,37,Male,City70,Gift Card,Next-Day,41.9,1,0.5029603793440272,Medium
Home,220.9,4,Defective,Returned,155.0,25,Female,City59,PayPal,Express,9.67,1,0.5050152994275351,Medium
Clothing,244.73,1,Defective,Returned,15.0,69,Male,City33,Credit Card,Standard,36.62,1,0.4863409842771128,Medium
Electronics,39.41,1,Not as described,Returned,412.0,19,Female,City64,Gift Card,Standard,12.1,1,0.5048598605211055,Medium
Toys,471.71,5,Wrong item,Returned,230.0,54,Male,City63,Debit Card,Next-Day,41.68,1,0.49466701992330464,Medium
Toys,347.56,1,Changed mind,Returned,32.0,69,Female,City8,Gift Card,Express,20.16,1,0.48964713045583463,Medium
Home,96.49,5,Wrong item,Returned,201.0,67,Female,City75,Debit Card,Standard,2.9,1,0.49587272259120446,Medium
Electronics,126.57,5,Changed mind,Returned,-400.0,51,Female,City97,Gift Card,Express,42.49,1,0.47117427900440084,Medium
Clothing,425.24,4,Not as described,Returned,211.0,33,Male,City69,Gift Card,Next-Day,32.36,1,0.48326073446064766,Medium
Clothing,363.54,5,Changed mind,Returned,-130.0,39,Female,City29,Debit Card,Next-Day,46.68,1,0.5299501990210992,Medium
Electronics,430.6,4,Wrong item,Returned,-596.0,49,Male,City89,PayPal,Next-Day,44.84,1,0.5149862834356257,Medium
Electronics,461.16,3,Not as described,Returned,-198.0,32,Male,City5,Debit Card,Next-Day,8.5,1,0.5136559664364891,Medium
Books,239.47,3,Defective,Returned,98.0,62,Female,City44,Credit Card,Standard,47.1,1,0.49102469773596435,Medium
Books,197.65,1,Defective,Returned,516.0,32,Male,City32,Credit Card,Express,39.62,1,0.4849470951243782,Medium
Books,22.49,3,Defective,Returned,-217.0,26,Female,City59,Gift Card,Express,3.13,1,0.49225899277546176,Medium
Books,42.22,2,Wrong item,Returned,-378.0,29,Male,City70,Debit Card,Standard,2.39,1,0.5113301443305218,Medium
Electronics,55.73,1,Defective,Returned,344.0,39,Male,City73,PayPal,Next-Day,4.23,1,0.5140772131221029,Medium
Books,58.96,4,Wrong item,Returned,-365.0,58,Female,City32,Credit Card,Express,11.69,1,0.49827499377067747,Medium
Clothing,148.57,5,Wrong item,Returned,237.0,66,Female,City96,Gift Card,Standard,15.82,1,0.48819348185193545,Medium
Electronics,244.13,5,Not as described,Returned,-96.0,47,Female,City5,Debit Card,Standard,23.62,1,0.5197473397954533,Medium
Toys,80.52,3,Changed mind,Returned,-78.0,19,Male,City95,PayPal,Standard,22.19,1,0.5057914217467885,Medium
Books,260.52,3,Not as described,Returned,421.0,70,Female,City74,Credit Card,Next-Day,26.84,1,0.48507445682924655,Medium
Clothing,69.04,5,Defective,Returned,-75.0,56,Male,City55,Gift Card,Standard,46.3,1,0.5162034562063484,Medium
Clothing,449.14,4,Wrong item,Returned,82.0,40,Male,City19,Gift Card,Next-Day,37.98,1,0.4430233689223998,Medium
Clothing,182.52,5,Wrong item,Returned,-73.0,18,Male,City56,Debit Card,Next-Day,11.15,1,0.49834325295642756,Medium
Toys,193.41,5,Not as described,Returned,200.0,66,Female,City80,Gift Card,Express,6.59,1,0.4643037509343578,Medium
Books,409.31,2,Defective,Returned,-4.0,59,Male,City16,PayPal,Standard,7.71,1,0.5108273892483023,Medium
Electronics,16.1,1,Changed mind,Returned,-26.0,70,Male,City22,PayPal,Express,1.16,1,0.4949522898542219,Medium
Toys,139.48,2,Not as described,Returned,430.0,68,Female,City83,Gift Card,Next-Day,19.39,1,0.4735717734155388,Medium
Home,198.17,2,Changed mind,Returned,-295.0,31,Male,City61,Debit Card,Express,30.62,1,0.45795686133552316,Medium
Toys,487.62,1,Defective,Returned,-25.0,23,Female,City67,PayPal,Express,9.98,1,0.49927960354097556,Medium
Home,187.12,4,Defective,Returned,232.0,45,Male,City91,Debit Card,Next-Day,43.21,1,0.4830375536987914,Medium
Home,222.67,2,Wrong item,Returned,635.0,38,Male,City1,Debit Card,Next-Day,46.61,1,0.4838028279524906,Medium
Clothing,468.62,2,Defective,Returned,-10.0,57,Male,City76,PayPal,Next-Day,38.7,1,0.49765371489877264,Medium
Toys,171.71,4,Defective,Returned,204.0,36,Female,City1,Debit Card,Next-Day,8.09,1,0.4951530260036861,Medium
Electronics,186.31,4,Wrong item,Returned,-336.0,46,Male,City77,Gift Card,Express,13.15,1,0.528104988021494,Medium
Toys,257.92,5,Not as described,Returned,28.0,60,Female,City42,PayPal,Next-Day,16.32,1,0.5321726511827447,Medium
Clothing,174.6,3,Not as described,Returned,-43.0,19,Male,City42,Gift Card,Standard,12.68,1,0.5235565861449984,Medium
Home,92.32,4,Wrong item,Returned,-183.0,20,Male,City99,Gift Card,Standard,12.19,1,0.495152074141672,Medium
Electronics,67.0,5,Wrong item,Returned,211.0,55,Female,City71,Credit Card,Standard,8.4,1,0.5174135122295578,Medium
Toys,396.86,1,Changed mind,Returned,232.0,62,Female,City99,Credit Card,Standard,23.32,1,0.4774124531903794,Medium
Electronics,22.99,2,Defective,Returned,-383.0,49,Male,City85,PayPal,Express,36.71,1,0.5157773515769412,Medium
Toys,412.23,5,Changed mind,Returned,-384.0,36,Male,City46,Debit Card,Standard,20.32,1,0.49831927099546824,Medium
Books,287.53,2,Wrong item,Returned,213.0,20,Female,City62,Credit Card,Next-Day,35.91,1,0.506481551926971,Medium
Toys,302.15,4,Not as described,Returned,-163.0,70,Female,City34,Debit Card,Standard,23.59,1,0.4909663657193547,Medium
Books,388.41,1,Not as described,Returned,401.0,52,Male,City45,Credit Card,Standard,6.88,1,0.46567613252701506,Medium
Books,366.54,5,Defective,Returned,-441.0,43,Female,City6,Credit Card,Next-Day,26.74,1,0.4764956789078775,Medium
Home,348.92,3,Changed mind,Returned,351.0,38,Female,City28,Credit Card,Next-Day,11.2,1,0.45454945965030513,Medium
Toys,68.62,5,Wrong item,Returned,-224.0,67,Male,City88,Credit Card,Next-Day,35.07,1,0.48720227559095663,Medium
Clothing,389.97,5,Not as described,Returned,481.0,40,Male,City91,PayPal,Express,29.24,1,0.512836434300427,Medium
Home,10.16,1,Changed mind,Returned,422.0,23,Female,City3,Credit Card,Next-Day,30.19,1,0.47986374094811185,Medium
